"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Id2",-0.176093202726404,0.374636896994185,-12.543157085653,4.35474339863296e-09,1.96634424921867e-06,11.0100291189506
"X9930021J03Rik.1",0.0772375045055898,0.837427566450547,12.5213528959611,4.45533438993222e-09,1.96634424921867e-06,10.9861760788147
"Myh7b.1",0.104689910284041,0.76424866552047,12.5209405208381,4.4572604954176e-09,1.96634424921867e-06,10.9857246072746
"Zmynd8.5",0.071806608746995,0.857418842567348,12.5189551012972,4.46654632826845e-09,1.96634424921867e-06,10.9835507736971
"Ube4a.2",0.124163264057721,0.736063690982173,12.50321380932,4.54090138974626e-09,1.96634424921867e-06,10.9663050585929
"Pipox.5",-0.103636819135416,0.283905848741967,-12.4845716083161,4.63066684491687e-09,1.96634424921867e-06,10.9458568233848
"X1810013L24Rik.9",0.0824234913141419,0.779147974673449,12.4830452929304,4.6380995046779e-09,1.96634424921867e-06,10.944181468583
"Angpt1.1",0.112502382572473,0.728000687397642,12.4777711601518,4.66388071412072e-09,1.96634424921867e-06,10.9383909683685
"Polr3b",0.180789728978454,0.413021215708845,12.4682759857361,4.71068062538467e-09,1.96634424921867e-06,10.9279608158652
"Kmt2a.2",0.0879895158637778,0.810311276387487,12.4172604704611,4.97083140806491e-09,2.04611847834472e-06,10.8718038715564
"Ablim3.1",-0.135813616513149,0.264425417690436,-12.4000544979194,5.06198592641958e-09,2.05509694385339e-06,10.8528188512927
"Zfp536.98",0.0949357007705151,0.590904247698587,12.3465275722037,5.35711903853144e-09,2.14552617493184e-06,10.7936115668203
"Thra.5",0.0966596911858157,0.633380774697911,12.2889616905257,5.69506836763908e-09,2.25046321615626e-06,10.7296891659391
"Ube4a.3",0.0866523671198012,0.850667475384744,12.2408013072228,5.9952339798935e-09,2.30109407364226e-06,10.676012531281
"Tinagl1",0.0787849490157,0.581012798346785,12.220750146628,6.12512898343608e-09,2.30109407364226e-06,10.6536112020014
"Casz1.4",-0.174811443189209,0.588317995808413,-12.2177214643337,6.14500823224392e-09,2.30109407364226e-06,10.6502247889879
"Eif4g2.7",0.100832570854446,0.796903803495476,12.2062577549562,6.22087609058125e-09,2.30109407364226e-06,10.63740052327
"Efemp1",-0.072768938063977,0.156057531954646,-12.2057523645278,6.22424366493276e-09,2.30109407364226e-06,10.6368349133648
"Slit3.6",0.121498194913815,0.795623582033319,12.1845958841524,6.36697071001265e-09,2.30109407364226e-06,10.6131395043563
"Ankib1",0.135686628491297,0.76335850904479,12.176994987349,6.41909519601732e-09,2.30109407364226e-06,10.6046178309931
"Socs3",-0.144725943987179,0.12805811560276,-12.1733377815168,6.44433674502505e-09,2.30109407364226e-06,10.6005159646204
"Tmem189.1",-0.108269082961595,0.588147219232753,-12.1471196214914,6.62841251264644e-09,2.33864597187265e-06,10.5710791218397
"Agbl1",-0.0976598149646561,0.620463153440649,-12.0801228527336,7.12467966165086e-09,2.46608489263686e-06,10.4956097474647
"Zbtb20.54",0.0907255875397977,0.849846938610738,12.076058437809,7.15603133808313e-09,2.46608489263686e-06,10.4910198351613
"Pitpnc1",0.181468386446077,0.517934260145185,12.0649626216165,7.24237079094963e-09,2.46715107047557e-06,10.4784826969343
"Mast4",0.0943049022621826,0.701255412777823,12.0364262765347,7.46955020911468e-09,2.49571426676319e-06,10.4461942940334
"Zfp462.11",-0.173496812490612,0.461261812384785,-12.0333317857305,7.49463743772731e-09,2.49571426676319e-06,10.4426890061149
"Gm47241.4",-0.149969015471667,0.633854309719073,-12.0158727109767,7.63786904073636e-09,2.51515027511448e-06,10.4228978111362
"Magi1.8",-0.125959390524625,0.408236044717358,-11.9874962747926,7.87691340909224e-09,2.56536354621172e-06,10.3906786297893
"Casz1.54",-0.105505620918234,0.759858593472246,-11.9412103462508,8.28406800722052e-09,2.61422891913075e-06,10.3379851279494
"Nfix.41",-0.105315089589207,0.221087869047465,-11.9410525207797,8.2854940194772e-09,2.61422891913075e-06,10.337805157186
"Pde7b",-0.137518062118225,0.19510496937153,-11.9363195485171,8.3283797588383e-09,2.61422891913075e-06,10.3324071384678
"Gm13469.18",0.0475905460892009,0.859293430304131,11.8798936872778,8.39403255492172e-09,2.61422891913075e-06,10.3174093602881
"Gm11146.15",-0.0518502241447355,0.111008424291552,-11.8760779578451,8.66609815378606e-09,2.61422891913075e-06,10.2875488323769
"Ehd4.1",0.090300130401321,0.642912515008925,11.8861060513695,8.79818917140936e-09,2.61422891913075e-06,10.2750257933437
"Casz1.100",-0.0872155852595183,0.60168798339229,-11.8813160794071,8.84445577957979e-09,2.61422891913075e-06,10.2695413286806
"Ddx31",0.0886899628096151,0.846414276159879,11.8753111919994,8.90282321430189e-09,2.61422891913075e-06,10.2626631515146
"Gm20954.1",0.120357110072846,0.356267730155307,11.8746744107687,8.90903670520652e-09,2.61422891913075e-06,10.2619335904644
