"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Skida1.25",-0.0212643224739856,0.833995948340372,-6.11227071559628,4.16414623416335e-08,9.9786212416447e-06,6.9949982569674
"Ddx5.3",0.0592092497335943,0.683752402412767,6.11217404270179,4.16582479029868e-08,9.9786212416447e-06,6.99460007991627
"Srsf5.9",0.0307552110919006,0.827984477153338,6.11164546512394,4.17501445478268e-08,9.9786212416447e-06,6.99242300737459
"Etv5.2",-0.0279550674958547,0.569908008923754,-6.10826096933546,4.23433304723485e-08,1.00394342816719e-05,6.97848463162454
"Clint1.5",0.0328034520974927,0.484823488277378,6.10308555700622,4.32665543912917e-08,1.0176911686466e-05,6.95717566481931
"Rbm39.4",0.0230743991241251,0.842409562329724,6.09971768556891,4.38779986093737e-08,1.0239466494378e-05,6.94331218864445
"Jmjd6.1",0.0286090706924244,0.593933051997514,6.09630225122762,4.45068026646028e-08,1.03050633638346e-05,6.92925552188767
"Satb1.16",-0.0492284198353585,0.617983420930161,-6.08623229049977,4.64130719843529e-08,1.06631334449633e-05,6.88782655014242
"Fam204a.11",-0.0267309005496041,0.742909905014265,-6.07955716566425,4.7720950773318e-08,1.08792755236063e-05,6.86037693615745
"Cltc.3",0.0392955721613625,0.81098342071208,6.07553236698549,4.85270806147665e-08,1.09536905331176e-05,6.84383093754095
"Vegfa",0.0410467668756031,0.657381678581058,6.07425092592051,4.87865556693161e-08,1.09536905331176e-05,6.83856368894319
"Pbx3.70",-0.0220907010130364,0.786425984248477,-6.06835360915213,4.99984751166021e-08,1.11413895265469e-05,6.81432811311137
"Arap3.8",-0.0241189479329586,0.582104147429936,-6.06529381939356,5.06389501669825e-08,1.11998997470064e-05,6.80175674392456
"Gm50479.15",-0.0274691706601607,0.761061318244581,-6.06051119892309,5.16563286133482e-08,1.12859878364942e-05,6.78211128451994
"Eif4g2.7",0.0284365116289319,0.891022094986409,6.05989067303951,5.17898014563962e-08,1.12859878364942e-05,6.77956274836302
"Zic5.17",-0.0417423338435731,0.686944070193229,-6.05208314910629,5.34985829574438e-08,1.15732664460566e-05,6.74750433774917
"Mga.4",0.0254818384140023,0.847849919134725,6.04849903308612,5.43015631899544e-08,1.16618509294252e-05,6.73279232134976
"Macroh2a1.7",-0.0293996572299803,0.775079083984576,-6.04399518036744,5.53275071930367e-08,1.17223400452807e-05,6.71430918521458
"Hnrnpk.5",0.0309422863592167,0.481261164760656,6.04081393001022,5.60636936622777e-08,1.17223400452807e-05,6.70125663492496
"Cacna1d.1",-0.0339559290319132,0.788498486293955,-6.03989415879835,5.6278340098652e-08,1.17223400452807e-05,6.69748328470689
"Epha3.4",-0.028473080791552,0.677138534596671,-6.0390910583691,5.64664231842765e-08,1.17223400452807e-05,6.69418873517375
"Sox5.14",0.0251270646488387,0.774925197648927,6.03868875664809,5.65608741260972e-08,1.17223400452807e-05,6.69253843368535
"Lin54.4",0.0342382008494097,0.830205305732283,6.02652254007604,5.94921557445517e-08,1.22442293041755e-05,6.64264855951443
"Btbd9",-0.0398025517614458,0.680311302477105,-6.02335314022855,6.02801114405982e-08,1.23208390535518e-05,6.62965749519576
"Rnf165",0.00460402937090921,0.962144107501721,6.01703980714741,6.14642147577005e-08,1.24740514596048e-05,6.60973649670056
"Lrba.24",-0.0305373761465077,0.685170729357536,-6.01707505732362,6.18714972690187e-08,1.24740514596048e-05,6.60393117210655
"Skida1.9",-0.0642554236714997,0.382272825517881,-6.01210561039757,6.31605398643663e-08,1.26478981078394e-05,6.58357392703486
"Epha4.5",-0.0381424106641806,0.422068441613496,-6.00888122561779,6.40110819828073e-08,1.27321908504997e-05,6.57036840026364
"Foxp2.35",-0.0348152563423679,0.761066448798894,-6.00615921641495,6.47379071881101e-08,1.27909157022268e-05,6.5592222673901
"Elavl4.30",-0.0187938250136955,0.269025921340031,-5.99152900796825,6.87863791465015e-08,1.34530699111115e-05,6.49934421969891
"Gm45647.48",-0.0339484491157894,0.481546772467869,-5.99079104516354,6.89970856189545e-08,1.34530699111115e-05,6.49632525356242
"Ankhd1.3",0.022872912909276,0.820952534276482,5.97943167646531,7.23220705001533e-08,1.40092104798238e-05,6.44987105366715
"Psmd14.1",-0.018805642210475,0.847707284006047,-5.97623750045241,7.32852136941424e-08,1.40838428441839e-05,6.43681400502073
"Foxp1.37",0.0116368087918722,0.903708623450613,5.97342971506225,7.36577805057364e-08,1.40838428441839e-05,6.43110763245613
"Zfp281.1",0.0362933377640787,0.743835423053169,5.97156021877295,7.47184611422656e-08,1.4195070723547e-05,6.41769877699776
"Myo18a.10",0.0507115583558541,0.691238100972865,5.95560946448405,7.98175690772987e-08,1.50672184378592e-05,6.35255044043719
"Zbtb20.15",-0.0504664045050297,0.474888878448954,-5.9400317143703,8.51287028339936e-08,1.59680972524751e-05,6.28898505572695
"Hnrnpk.12",0.0460727242840767,0.554383362132718,5.92211956142407,9.16681029828963e-08,1.70623725664849e-05,6.21596735574781
"Gm45647.44",-0.0441166891076129,0.695037945726503,-5.92094483789275,9.21138985267599e-08,1.70623725664849e-05,6.21118142866159
"Sfpq.6",0.0081881464765209,0.934575896164774,5.90928841444342,9.60389972790398e-08,1.7678930200987e-05,6.16932296186894
"Gm46574.11",0.0315705841630346,0.775698609981027,5.89866236942961,1.00986926941662e-07,1.8411362790249e-05,6.12046538081873
"Cadm1.29",-0.0168929190087728,0.855933906873246,-5.89800691978402,1.01260321044997e-07,1.8411362790249e-05,6.11779879268839
"Pde7b",-0.0459026023745858,0.502746692461504,-5.88879925883323,1.05179032904523e-07,1.88014226629102e-05,6.08035030122004
"Tenm4.19",0.0247381351540781,0.686462587773431,5.88653218997852,1.06166621092465e-07,1.88014226629102e-05,6.07113315989566
"Hoxc4.16",0.0178230974751645,0.139093205765772,5.88641032192838,1.06219968126046e-07,1.88014226629102e-05,6.07063772182428
