"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"151B",1520.39400204057,-0.0880777296240283,0.149327634507545,-0.589828734075192,0.555305476504962,0.894332873433157,"Pancreatic Cancer"
"151C",46416.3065600377,-0.0212191421600966,0.163984546420398,-0.129397206159282,0.897043358259011,0.965831160026013,"Pancreatic Cancer"
"152B",39532.7056982445,0.0810357248612382,0.0942516504311141,0.859780433452091,0.389910087024672,0.806646490618186,"Pancreatic Cancer"
"153B",25150.0699296692,0.278378849488888,0.101210601253862,2.75049101615989,0.00595060232465726,0.206800153918917,"Pancreatic Cancer"
"153C",22466.9483043377,0.0823587551051898,0.129916797863874,0.633934613994143,0.526123494824231,0.894332873433157,"Pancreatic Cancer"
"154B",23377.6818414048,-0.16205000257211,0.115612685254022,-1.4016628211347,0.161015957848103,0.65063591130458,"Pancreatic Cancer"
"154C",2994.20975544043,0.214510718319997,0.131735588909572,1.62834295649024,0.103452185793705,0.580193719454955,"Pancreatic Cancer"
"155B",11892.3296736502,-0.213781293941456,0.217367430848268,-0.983501958445122,0.325360451894198,0.791092066938006,"Pancreatic Cancer"
"155C",59236.4593143726,-0.194778172098439,0.106196599426357,-1.83412814676341,0.0666349741835324,0.531140277052513,"Pancreatic Cancer"
"156B",7611.40172150846,0.0290216970851205,0.133467929842053,0.217443224896535,0.827862948335352,0.954855517109125,"Pancreatic Cancer"
"156C",25908.5332075331,-0.083900830784719,0.149515995518108,-0.561149531152057,0.574695604672497,0.901356589398608,"Pancreatic Cancer"
"157B",8162.8337227214,0.103632046359717,0.193363933778469,0.53594299792455,0.59199794642158,0.901356589398608,"Pancreatic Cancer"
"157C",8392.72273505919,-0.00180941783197308,0.185445888750543,-0.0097571202260896,0.992215067936634,0.998490481353425,"Pancreatic Cancer"
"158B",6021.17137002862,-0.177270991929908,0.17269918416369,-1.02647266568373,0.304668841546568,0.786018349820976,"Pancreatic Cancer"
"158C",3522.08855723892,-0.0447148118981659,0.149566750038248,-0.298962248539405,0.764968850236042,0.933657090990251,"Pancreatic Cancer"
"159B",2842.16779721691,-0.344395199125373,0.173914563342351,-1.98025508908894,0.0476748725077513,0.500375991394387,"Pancreatic Cancer"
"159C",523.634727351743,-0.126116030190093,0.267057845272773,-0.472242371540437,0.636753799023758,0.911705120903061,"Pancreatic Cancer"
"15A",11098.6159783749,-0.213867528061585,0.187761716729376,-1.13903692289859,0.254687754327827,0.757790756620781,"Pancreatic Cancer"
"15B",8587.75639239529,0.103982384387283,0.190936331116243,0.544591926425872,0.586034208720644,0.901356589398608,"Pancreatic Cancer"
"15C",2630.12629609508,-0.1745861006163,0.167431511707677,-1.04273143589072,0.297072694211274,0.783611184920806,"Pancreatic Cancer"
"15D",16599.1686361915,0.0158956632959613,0.115373993375142,0.137775098451139,0.890418165207273,0.965831160026013,"Pancreatic Cancer"
"160B",15744.9495488465,0.107741994913979,0.213357402610644,0.504983626514228,0.61357033616806,0.904254621209616,"Pancreatic Cancer"
"160C",23933.5990486524,0.219268905146827,0.114080770897091,1.92204964449814,0.0545995113444247,0.526620619523572,"Pancreatic Cancer"
"161C",12984.2541870863,0.0660175343648584,0.0941254083554171,0.701378464309834,0.483066858113066,0.866893394921937,"Pancreatic Cancer"
"162C",8287.84314154847,-0.108043139411775,0.134492022869899,-0.80334236266407,0.421776879004453,0.83449608078204,"Pancreatic Cancer"
"163B",13384.4284638793,0.0666797142507394,0.110430164187752,0.603817939973096,0.545964690766413,0.894332873433157,"Pancreatic Cancer"
"163C",8584.46352528628,-0.114895057369295,0.124067086729315,-0.926072017955646,0.354408554731686,0.791092066938006,"Pancreatic Cancer"
"164B",6021.67963674139,-0.0047701612805384,0.12933262608996,-0.0368828920029847,0.970578380669719,0.990590306044352,"Pancreatic Cancer"
"164C",41.7859766933686,-0.990022103518369,0.680194014193231,-1.45549958226642,0.145531005785301,0.644502595322581,"Pancreatic Cancer"
"165B",8738.55228633756,-0.249425200084356,0.156063260561542,-1.598231378653,0.109991492770633,0.580193719454955,"Pancreatic Cancer"
"165C",162.980295538871,-1.0202550528494,0.435588749769565,-2.3422438099908,0.0191681886251688,0.334879530686773,"Pancreatic Cancer"
"166C",3202.1926299556,0.0970595941386879,0.165824685930132,0.585314506065657,0.558336262759496,0.894332873433157,"Pancreatic Cancer"
"167B",59322.2386736785,-0.125422251244888,0.134282309422469,-0.934019170390451,0.350294004334634,0.791092066938006,"Pancreatic Cancer"
"167C",8309.59030291539,0.108007892261304,0.11388473950505,0.948396534344397,0.342927623076917,0.791092066938006,"Pancreatic Cancer"
"168B",1835.25416545729,-0.101303222207567,0.229651230400379,-0.441117698481096,0.65912779129566,0.91424936736595,"Pancreatic Cancer"
"168C",6928.99406319023,0.127562607917092,0.119825512127669,1.06456968680576,0.287070703491962,0.783611184920806,"Pancreatic Cancer"
"169B",216609.377180879,0.076633435498405,0.149991731296923,0.510917734169638,0.609408662673631,0.904254621209616,"Pancreatic Cancer"
"169C",7367.34140910401,0.041220630572717,0.143340739079154,0.287570936479926,0.773675194827753,0.937883807607521,"Pancreatic Cancer"
"16A",6301.41403625376,0.0237826968804041,0.156608691819911,0.151860644540423,0.879296849313577,0.965831160026013,"Pancreatic Cancer"
"16B",6536.81093943044,-0.141014445801191,0.161492545450753,-0.873194768263737,0.382556925979569,0.80348798650336,"Pancreatic Cancer"
"16C",8399.08039601274,0.298310507471236,0.142886142755027,2.08774974059365,0.0368204153919633,0.485555435455099,"Pancreatic Cancer"
"16D",13992.1975651751,0.15208937071968,0.115032007316381,1.32214828088131,0.18611877923803,0.70924707994885,"Pancreatic Cancer"
"170C",19052.9591984507,-0.000479737337725234,0.13394448573181,-0.00358161319672231,0.997142292237326,0.998601009969066,"Pancreatic Cancer"
"171B",23472.5809134345,0.0171542762536042,0.162822944081042,0.105355399083473,0.916093805411632,0.969115145276639,"Pancreatic Cancer"
"171C",5043.17169490761,-0.259355265815192,0.182008256053169,-1.42496429249576,0.154167523154913,0.644502595322581,"Pancreatic Cancer"
"172B",22404.9821244092,0.0193649095950097,0.137601625974331,0.140731691634386,0.888081907940905,0.965831160026013,"Pancreatic Cancer"
"172C",4743.62991625542,-0.168289365286866,0.16276869695745,-1.0339172607056,0.301174844988949,0.783611184920806,"Pancreatic Cancer"
